id,user_login,created_at,url,image_url,latitude,longitude
31559182,harry101,2019-08-26 17:24:28 UTC,https://www.inaturalist.org/observations/31559182,https://static.inaturalist.org/photos/49403256/medium.jpg,34.0923214937,-118.268337166
32901430,birdizlife,2019-09-17 17:43:30 UTC,https://www.inaturalist.org/observations/32901430,https://inaturalist-open-data.s3.amazonaws.com/photos/51638281/medium.jpeg,25.6805553436,-80.2727813721
32901678,birdizlife,2019-09-17 17:48:26 UTC,https://www.inaturalist.org/observations/32901678,https://inaturalist-open-data.s3.amazonaws.com/photos/51638750/medium.jpeg,25.6811103821,-80.2724990845
33775252,adamold,2019-10-02 23:18:26 UTC,https://www.inaturalist.org/observations/33775252,https://inaturalist-open-data.s3.amazonaws.com/photos/53082344/medium.jpg,25.79041667,-80.197425
35749521,adamold,2019-11-16 20:26:01 UTC,https://www.inaturalist.org/observations/35749521,https://inaturalist-open-data.s3.amazonaws.com/photos/56408134/medium.jpg,25.808295,-80.19817167
35858326,ddodaro,2019-11-19 19:13:45 UTC,https://www.inaturalist.org/observations/35858326,https://static.inaturalist.org/photos/56597599/medium.jpg,33.187195,-117.28556167
38224025,bruceholst,2020-02-02 17:46:55 UTC,https://www.inaturalist.org/observations/38224025,https://inaturalist-open-data.s3.amazonaws.com/photos/60716644/medium.jpeg,27.2327214109,-82.5030653242
38430052,suedallman,2020-02-08 17:51:01 UTC,https://www.inaturalist.org/observations/38430052,https://inaturalist-open-data.s3.amazonaws.com/photos/61075102/medium.jpeg,27.9746239319,-99.2431686918
38806604,dfrohlich,2020-02-18 20:19:23 UTC,https://www.inaturalist.org/observations/38806604,https://inaturalist-open-data.s3.amazonaws.com/photos/61731974/medium.jpeg,21.43993833,-158.1562805
39253486,dfrohlich,2020-02-26 20:45:22 UTC,https://www.inaturalist.org/observations/39253486,https://inaturalist-open-data.s3.amazonaws.com/photos/62252485/medium.jpg,21.6416888889,-158.0558166667
40672250,joemdo,2020-03-25 01:24:26 UTC,https://www.inaturalist.org/observations/40672250,https://inaturalist-open-data.s3.amazonaws.com/photos/64471621/medium.jpg,25.6915666944,-80.3482875833
42628061,joemdo,2020-04-20 00:12:36 UTC,https://www.inaturalist.org/observations/42628061,https://inaturalist-open-data.s3.amazonaws.com/photos/67690103/medium.jpg,25.7766285278,-80.3192225833
43793303,ybloom,2020-04-27 01:01:46 UTC,https://www.inaturalist.org/observations/43793303,https://inaturalist-open-data.s3.amazonaws.com/photos/69456647/medium.jpg,26.1488073226,-97.9910411966
44773980,obrock,2020-05-03 19:02:45 UTC,https://www.inaturalist.org/observations/44773980,https://inaturalist-open-data.s3.amazonaws.com/photos/70979384/medium.jpeg,26.5467642,-81.9819332
45099375,ceherzog,2020-05-06 19:34:37 UTC,https://www.inaturalist.org/observations/45099375,https://inaturalist-open-data.s3.amazonaws.com/photos/71499426/medium.jpeg,27.2700310544,-82.5566241584
46014237,alovegren,2020-05-15 21:22:01 UTC,https://www.inaturalist.org/observations/46014237,https://inaturalist-open-data.s3.amazonaws.com/photos/72980113/medium.jpeg,26.08951049,-97.71238963
46719393,oscarbucio,2020-05-21 13:36:48 UTC,https://www.inaturalist.org/observations/46719393,https://static.inaturalist.org/photos/74097345/medium.jpeg,34.0634944444,-118.1900666667
46767491,lessthanavgplayer,2020-05-21 20:49:13 UTC,https://www.inaturalist.org/observations/46767491,https://static.inaturalist.org/photos/74169374/medium.jpeg,25.81882607,-80.25740137
46786057,robmcm210,2020-05-21 23:47:54 UTC,https://www.inaturalist.org/observations/46786057,https://inaturalist-open-data.s3.amazonaws.com/photos/74198756/medium.jpg,25.8138642591,-80.3644889979
47509271,sandrae34242,2020-05-27 14:03:54 UTC,https://www.inaturalist.org/observations/47509271,https://inaturalist-open-data.s3.amazonaws.com/photos/75354835/medium.jpeg,27.27312853,-82.53068477
48904643,ritasteyn,2020-06-08 13:14:28 UTC,https://www.inaturalist.org/observations/48904643,https://static.inaturalist.org/photos/79806243/medium.jpg,27.9659026513,-82.4396751362
48953988,meilinkc,2020-06-08 21:04:52 UTC,https://www.inaturalist.org/observations/48953988,https://inaturalist-open-data.s3.amazonaws.com/photos/77696667/medium.jpg,27.53060833,-82.52739667
50472460,jaykeller,2020-06-21 21:17:06 UTC,https://www.inaturalist.org/observations/50472460,https://static.inaturalist.org/photos/80140753/medium.jpg,25.7893764722,-80.2159441944
50897858,jessdabess,2020-06-25 16:46:40 UTC,https://www.inaturalist.org/observations/50897858,https://static.inaturalist.org/photos/80843692/medium.jpg,26.12341117,-97.958405
57232009,akjamzzz,2020-08-22 16:23:16 UTC,https://www.inaturalist.org/observations/57232009,https://static.inaturalist.org/photos/91271180/medium.jpg,27.5258811583,-82.7366498418
57874881,mariareyesmiami,2020-08-28 23:18:34 UTC,https://www.inaturalist.org/observations/57874881,https://static.inaturalist.org/photos/92353084/medium.jpeg,25.7616797584,-80.1917902753
58414891,mrush12,2020-09-03 14:15:14 UTC,https://www.inaturalist.org/observations/58414891,https://inaturalist-open-data.s3.amazonaws.com/photos/93261637/medium.jpg,27.017903016,-82.3206822854
58428512,kristicees,2020-09-03 16:54:07 UTC,https://www.inaturalist.org/observations/58428512,https://static.inaturalist.org/photos/93283580/medium.jpg,25.7925075277,-80.1887317925
61203508,aphaywood,2020-09-29 12:25:58 UTC,https://www.inaturalist.org/observations/61203508,https://inaturalist-open-data.s3.amazonaws.com/photos/97911907/medium.jpg,25.7385025907,-80.2348262568
61471612,queentut1,2020-10-02 12:41:26 UTC,https://www.inaturalist.org/observations/61471612,https://inaturalist-open-data.s3.amazonaws.com/photos/98372489/medium.jpg,27.7775083333,-82.6403583333
61726511,ymond002,2020-10-04 22:42:49 UTC,https://www.inaturalist.org/observations/61726511,https://static.inaturalist.org/photos/98804057/medium.jpeg,25.8880842011,-80.1617999934
61951926,ebaldino,2020-10-07 15:36:33 UTC,https://www.inaturalist.org/observations/61951926,https://inaturalist-open-data.s3.amazonaws.com/photos/99197835/medium.jpeg,25.7978815172,-80.3253624402
64377645,birtysue,2020-11-07 18:50:50 UTC,https://www.inaturalist.org/observations/64377645,https://inaturalist-open-data.s3.amazonaws.com/photos/103489361/medium.jpg,26.1132781112,-81.7174523216
65060288,bennypoo,2020-11-17 05:27:33 UTC,https://www.inaturalist.org/observations/65060288,https://inaturalist-open-data.s3.amazonaws.com/photos/104690464/medium.jpeg,25.681693858,-80.2718760569
65421984,tira2,2020-11-22 18:59:03 UTC,https://www.inaturalist.org/observations/65421984,https://static.inaturalist.org/photos/105295444/medium.jpg,26.1161259289,-98.0288254781
65538342,ceherzog,2020-11-24 17:37:33 UTC,https://www.inaturalist.org/observations/65538342,https://inaturalist-open-data.s3.amazonaws.com/photos/105502794/medium.jpg,27.2700266726,-82.5565533522
66488628,kyhlaustin,2020-12-12 22:58:12 UTC,https://www.inaturalist.org/observations/66488628,https://inaturalist-open-data.s3.amazonaws.com/photos/107194522/medium.jpg,21.2728030927,-157.923549043
66983727,mr_ice,2020-12-24 00:45:34 UTC,https://www.inaturalist.org/observations/66983727,https://static.inaturalist.org/photos/108111292/medium.jpeg,32.73621372,-117.15818896
67019229,ash055,2020-12-24 20:54:24 UTC,https://www.inaturalist.org/observations/67019229,https://inaturalist-open-data.s3.amazonaws.com/photos/108176907/medium.jpeg,32.9518312589,-117.0471895115
67033523,djringer,2020-12-25 05:24:19 UTC,https://www.inaturalist.org/observations/67033523,https://inaturalist-open-data.s3.amazonaws.com/photos/108203406/medium.jpg,25.9156612931,-97.4961374747
67200171,suedallman,2020-12-28 17:15:22 UTC,https://www.inaturalist.org/observations/67200171,https://inaturalist-open-data.s3.amazonaws.com/photos/108513720/medium.jpeg,25.7843907248,-80.1937087004
68519734,brandonwoo,2021-01-24 00:23:56 UTC,https://www.inaturalist.org/observations/68519734,https://static.inaturalist.org/photos/110968493/medium.jpg,25.9566279921,-97.5427570335
68576470,cypselurus,2021-01-25 00:45:52 UTC,https://www.inaturalist.org/observations/68576470,https://inaturalist-open-data.s3.amazonaws.com/photos/111077082/medium.jpg,26.12621667,-97.958305
68621367,jacob0307,2021-01-26 00:56:34 UTC,https://www.inaturalist.org/observations/68621367,https://inaturalist-open-data.s3.amazonaws.com/photos/111162885/medium.jpeg,26.1516225339,-97.7776497602
68746514,kstatick,2021-01-29 03:03:39 UTC,https://www.inaturalist.org/observations/68746514,https://inaturalist-open-data.s3.amazonaws.com/photos/111393397/medium.jpg,25.9570888889,-97.5464333333
70525750,ceherzog,2021-03-03 23:21:46 UTC,https://www.inaturalist.org/observations/70525750,https://inaturalist-open-data.s3.amazonaws.com/photos/114670300/medium.jpg,27.2700266937,-82.5565837109
71580668,joemdo,2021-03-19 23:22:30 UTC,https://www.inaturalist.org/observations/71580668,https://inaturalist-open-data.s3.amazonaws.com/photos/116562241/medium.jpeg,25.7071649841,-80.3338850986
72121989,chenxu_han,2021-03-26 22:51:38 UTC,https://www.inaturalist.org/observations/72121989,https://inaturalist-open-data.s3.amazonaws.com/photos/117534387/medium.jpeg,25.76218532,-80.28662594
72733406,joemdo,2021-04-02 23:35:27 UTC,https://www.inaturalist.org/observations/72733406,https://inaturalist-open-data.s3.amazonaws.com/photos/118627288/medium.jpg,25.7706120068,-80.3083935038
74100920,atp_synthaz3,2021-04-16 01:40:50 UTC,https://www.inaturalist.org/observations/74100920,https://static.inaturalist.org/photos/121070387/medium.jpg,21.31743,-157.8575283333
74208653,davidr,2021-04-17 04:10:42 UTC,https://www.inaturalist.org/observations/74208653,https://inaturalist-open-data.s3.amazonaws.com/photos/121258757/medium.jpeg,21.3374996185,-157.8373260498
76469800,kevinfaccenda,2021-05-02 09:09:38 UTC,https://www.inaturalist.org/observations/76469800,https://inaturalist-open-data.s3.amazonaws.com/photos/125087966/medium.jpg,21.3054555751,-157.8268112716
76477399,kevinfaccenda,2021-05-02 09:53:18 UTC,https://www.inaturalist.org/observations/76477399,https://inaturalist-open-data.s3.amazonaws.com/photos/125098685/medium.jpg,21.3181024265,-157.8026014834
77072484,linacas,2021-05-03 20:51:25 UTC,https://www.inaturalist.org/observations/77072484,https://inaturalist-open-data.s3.amazonaws.com/photos/126039353/medium.jpg,25.8206116667,-80.1965166667
79669409,kaceiana,2021-05-21 17:38:23 UTC,https://www.inaturalist.org/observations/79669409,https://static.inaturalist.org/photos/130509743/medium.jpg,25.9511348811,-80.2233107431
81948620,damonmoore,2021-06-06 23:30:14 UTC,https://www.inaturalist.org/observations/81948620,https://static.inaturalist.org/photos/134451231/medium.jpg,27.4923633333,-82.56585
85169046,atp_synthaz3,2021-07-01 03:21:11 UTC,https://www.inaturalist.org/observations/85169046,https://static.inaturalist.org/photos/140089792/medium.jpg,21.3002383333,-157.8584883333
87417661,tropicalzone10,2021-07-17 16:26:24 UTC,https://www.inaturalist.org/observations/87417661,https://inaturalist-open-data.s3.amazonaws.com/photos/144123912/medium.jpg,26.6495484505,-82.1248630427
87764779,elizabethgandy,2021-07-19 20:32:00 UTC,https://www.inaturalist.org/observations/87764779,https://inaturalist-open-data.s3.amazonaws.com/photos/144733217/medium.jpeg,27.9061358,-81.5724447
89613532,kevinfaccenda,2021-08-02 09:08:50 UTC,https://www.inaturalist.org/observations/89613532,https://inaturalist-open-data.s3.amazonaws.com/photos/148005029/medium.jpg,21.300325,-157.8185638889
90142771,joemdo,2021-08-06 14:06:23 UTC,https://www.inaturalist.org/observations/90142771,https://inaturalist-open-data.s3.amazonaws.com/photos/148865938/medium.jpg,25.7701865925,-80.1995364233
91183979,jonathan_jewett,2021-08-14 22:16:48 UTC,https://www.inaturalist.org/observations/91183979,https://static.inaturalist.org/photos/150787297/medium.jpeg,21.317533493,-157.8591766357
98037309,hgnatives,2021-10-12 19:59:24 UTC,https://www.inaturalist.org/observations/98037309,https://inaturalist-open-data.s3.amazonaws.com/photos/163147181/medium.jpg,25.7890716667,-80.21585
100631403,bio-joy-jane,2021-11-08 22:22:20 UTC,https://www.inaturalist.org/observations/100631403,https://inaturalist-open-data.s3.amazonaws.com/photos/167999675/medium.jpeg,25.78794077,-80.13184366
101560875,eternalblithe,2021-11-20 20:00:30 UTC,https://www.inaturalist.org/observations/101560875,https://inaturalist-open-data.s3.amazonaws.com/photos/169621434/medium.jpg,32.7292768951,-117.1519258148
102550534,amanda1738,2021-12-05 19:10:49 UTC,https://www.inaturalist.org/observations/102550534,https://static.inaturalist.org/photos/171456991/medium.jpeg,25.7010135651,-80.2778930664
104366734,atp_synthaz3,2022-01-04 21:28:23 UTC,https://www.inaturalist.org/observations/104366734,https://static.inaturalist.org/photos/174861205/medium.jpg,21.3032383333,-157.818755
104555342,redadmiral98,2022-01-08 03:27:38 UTC,https://www.inaturalist.org/observations/104555342,https://inaturalist-open-data.s3.amazonaws.com/photos/175218690/medium.jpg,25.7847466667,-80.1932133333
104586164,justinfoucart,2022-01-08 18:00:53 UTC,https://www.inaturalist.org/observations/104586164,https://static.inaturalist.org/photos/175277272/medium.jpeg,26.14758757,-97.98993065
104836345,mako252,2022-01-12 23:31:19 UTC,https://www.inaturalist.org/observations/104836345,https://inaturalist-open-data.s3.amazonaws.com/photos/175754926/medium.jpeg,26.1236066133,-97.9581100995
